ID,Sentence
1,ekonomi
2,girişi
3,güncelleme
4,mit
5,silahlı
6,savaştan
7,gününe
8,serbes:
9,muslüm
10,et:
11,lacıvertli
12,kultürünün
13,olmayabilir
14,okunan
15,gelişmeyi
16,açımıyor
17,orduspor
18,mor
19,eklenince
20,buralara
21,tarhan
22,çevaplayan
23,girnatacı
24,çağlayan
25,türünün
26,kisa
27,kasabanın
28,bakanlar
29,buyürmuş
30,tımes
31,antalya
32,kardeşlik
33,sahaya
34,standında
35,editorun
36,dokunuşla
37,standındaydı
38,tüna
39,işkender
40,hdk
41,sesle
42,işim
43,halıd
44,yayalaştırma
45,ihh
46,soyuz
47,zafer
48,grand
49,akdeniz
50,kostumu
51,ingiliz
52,oksijenden
53,sız
54,sitenizden
55,ilanları
56,kodü
57,olma
58,soyadınız:seçmiş
59,arabanın
60,gireceğiniz
61,kendisiyle
62,ozelleştirme
63,durumu
64,asağıda
65,gidin
66,eklenin
67,avukatlarıyla
68,üniversiteli
69,surecin
70,evden
71,hüsniye
72,ayazağa
73,çatışmalarda
74,aşklı
75,buyükanıt
76,kopeklerine
77,36
78,surdürülebilir
79,siraladığı
80,meydan
81,ünal
82,insaatlarda
83,sonlandıran
84,bakanlık
85,düştüğünü
86,viraja
87,aralıkta
88,kit
89,(thy)
90,fatıh
91,barça
92,yilbaşında
93,islak
94,topluluğu
95,rotayi
96,erken
97,düruydu
98,misır
99,pavey:
100,olağan
